date,pmT,pmOne,Ozone,Nitro,Sulphur,Carbon
11/1/2019,157,94,59,52,6,12
11/2/2019,152,95,47,55,7,12
11/3/2019,158,91,62,25,6,9
11/4/2019,157,90,45,16,4,9
11/5/2019,175,79,50,34,10,15
11/6/2019,165,72,43,35,7,11
11/7/2019,147,69,56,26,5,8
11/8/2019,136,72,58,42,12,19
11/9/2019,153,82,54,48,7,11
11/10/2019,160,85,44,44,7,10
11/11/2019,152,81,48,47,7,11
11/12/2019,151,69,40,26,7,10
11/13/2019,140,59,26,24,4,8
11/14/2019,104,56,27,31,5,7
11/15/2019,84,67,34,39,10,10
11/16/2019,116,94,29,53,12,14
11/17/2019,152,89,21,32,5,12
11/18/2019,174,57,26,16,3,5
11/19/2019,83,76,20,28,6,8
11/20/2019,111,72,26,33,6,7
11/21/2019,120,81,15,41,9,10
11/22/2019,150,101,35,48,10,13
11/23/2019,159,88,18,51,10,13
11/24/2019,155,112,24,30,6,12
11/25/2019,184,29,19,11,3,6
11/26/2019,80,37,11,16,4,10
11/27/2019,98,24,17,14,3,7
11/28/2019,80,73,14,23,14,12
11/29/2019,164,57,20,23,6,9
11/30/2019,119,53,12,22,4,6
12/1/2019,143,67,21,22,4,8
12/2/2019,164,76,27,34,10,13
12/3/2019,161,82,17,48,5,16
12/4/2019,162,89,25,52,7,18
12/5/2019,162,73,30,40,7,13
12/6/2019,140,85,35,38,11,13
12/7/2019,178,84,34,44,9,12
12/8/2019,169,85,33,46,9,13
12/9/2019,166,89,28,54,9,13
12/10/2019,163,107,15,60,10,17
12/11/2019,173,103,29,52,9,18
12/12/2019,173,86,33,43,9,13
12/13/2019,160,112,19,55,10,14
12/14/2019,181,123,25,39,11,18
12/15/2019,206,105,18,33,14,19
12/16/2019,184,70,5,23,4,9
12/17/2019,155,55,8,22,4,10
12/18/2019,137,63,8,18,3,10
12/19/2019,159,45,18,22,12,9
12/20/2019,112,62,7,26,6,11
12/21/2019,147,60,5,29,5,11
12/22/2019,150,53,23,24,4,7
12/23/2019,152,58,14,23,6,10
12/24/2019,143,74,6,24,5,15
12/25/2019,171,51,5,18,4,13
12/26/2019,129,66,21,21,5,12
12/27/2019,151,82,21,33,6,13
12/28/2019,169,87,5,39,14,16
12/29/2019,167,61,17,28,4,10
1/2/2020,136,81,4,24,4,11
1/3/2020,165,86,5,25,3,9
1/4/2020,182,104,3,27,3,13
1/5/2020,194,82,2,22,4,14
1/6/2020,165,29,5,21,3,14
1/7/2020,70,23,19,20,2,13
1/8/2020,71,49,21,20,5,12
1/9/2020,129,22,19,18,3,8
1/10/2020,71,31,14,16,2,8
1/11/2020,105,39,14,19,2,7
1/12/2020,119,70,15,33,4,15
1/13/2020,163,58,24,27,4,11
1/14/2020,145,89,32,22,5,13
1/15/2020,187,77,28,22,5,14
1/16/2020,177,54,18,15,2,9
1/17/2020,159,46,19,19,3,8
1/18/2020,142,61,26,29,5,13
1/19/2020,158,85,32,27,4,11
1/20/2020,184,95,25,44,5,18
1/21/2020,186,79,23,26,4,13
1/22/2020,176,73,21,17,3,11
1/23/2020,173,71,21,12,3,12
1/24/2020,174,39,28,7,2,5
1/25/2020,116,46,23,7,2,7
1/26/2020,131,32,30,6,3,5
1/27/2020,104,45,28,6,2,8
1/28/2020,137,55,33,9,2,7
1/29/2020,154,54,35,15,4,7
1/30/2020,154,55,42,20,4,8
1/31/2020,153,68,45,22,5,10
2/1/2020,168,63,40,23,6,11
2/2/2020,164,61,31,23,4,9
2/3/2020,160,67,40,20,6,12
2/4/2020,166,67,46,26,6,10
2/5/2020,166,80,39,25,8,15
2/6/2020,184,47,22,10,4,12
2/7/2020,122,20,19,6,2,7
2/8/2020,81,28,23,10,3,8
2/9/2020,93,36,34,13,3,9
2/10/2020,109,45,25,20,5,10
2/11/2020,141,36,24,10,4,11
2/12/2020,113,34,23,15,5,11
2/13/2020,105,36,21,14,6,14
2/14/2020,105,39,19,10,5,14
2/15/2020,101,27,23,6,2,10
2/16/2020,83,23,33,7,3,8
2/17/2020,69,26,36,13,3,8
2/18/2020,72,29,43,17,5,10
2/19/2020,89,34,37,13,7,11
2/20/2020,100,49,42,20,6,14
2/21/2020,128,49,33,14,4,11
2/22/2020,140,53,42,14,6,13
2/23/2020,144,60,43,15,8,12
2/24/2020,128,55,43,12,9,14
2/25/2020,131,72,43,15,4,14
2/26/2020,160,57,27,9,4,16
2/27/2020,147,46,26,12,5,13
2/28/2020,123,17,17,9,3,13
2/29/2020,66,20,36,11,4,14
3/1/2020,83,39,34,8,3,12
3/2/2020,111,39,29,10,5,13
3/3/2020,106,29,23,10,2,10
3/4/2020,93,41,43,15,6,12
3/5/2020,124,55,52,15,6,9
3/6/2020,155,49,34,12,9,9
3/7/2020,146,44,44,14,6,12
3/8/2020,130,34,31,14,7,13
3/9/2020,115,49,37,8,3,9
3/10/2020,146,49,40,11,3,8
3/11/2020,138,61,46,20,6,10
3/12/2020,138,58,30,19,13,13
3/13/2020,153,74,33,16,3,10
3/14/2020,157,65,45,11,4,8
3/15/2020,148,67,52,19,4,6
3/16/2020,107,68,41,22,8,11
3/17/2020,142,64,59,25,6,9
3/18/2020,142,62,49,16,6,8
3/19/2020,136,57,57,19,5,8
3/20/2020,113,76,62,18,10,8
3/21/2020,111,62,36,19,8,14
3/22/2020,139,70,46,9,4,11
3/23/2020,145,64,66,17,8,14
3/24/2020,147,54,39,13,8,11
3/25/2020,127,42,25,12,6,11
3/26/2020,111,52,36,13,6,13
3/27/2020,99,21,26,6,3,6
3/28/2020,59,19,35,9,5,8
3/29/2020,62,18,29,10,4,8
3/30/2020,62,24,30,8,3,7
